Date,River,Reach,Cross Section,Water_Elevation
31/08/2026 17:00,Yom River       ,Reach1,61993   ,44.09724426269531
31/08/2026 17:00,Yom River       ,Reach1,61000   ,43.793968200683594
31/08/2026 17:00,Yom River       ,Reach1,60014   ,43.62815475463867
31/08/2026 17:00,Yom River       ,Reach1,59047   ,43.35932540893555
31/08/2026 17:00,Yom River       ,Reach1,58048   ,43.14687728881836
31/08/2026 17:00,Yom River       ,Reach1,57092   ,43.03501510620117
31/08/2026 17:00,Yom River       ,Reach1,56108   ,42.88841247558594
31/08/2026 17:00,Yom River       ,Reach1,55126   ,42.73052215576172
31/08/2026 17:00,Yom River       ,Reach1,54142   ,42.428466796875
31/08/2026 17:00,Yom River       ,Reach1,53147   ,42.21388244628906
31/08/2026 17:00,Yom River       ,Reach1,52140   ,42.130374908447266
31/08/2026 17:00,Yom River       ,Reach1,51151   ,42.037105560302734
31/08/2026 17:00,Yom River       ,Reach1,50166   ,41.93804168701172
31/08/2026 17:00,Yom River       ,Reach1,49194   ,41.71432113647461
31/08/2026 17:00,Yom River       ,Reach1,48273   ,41.54911422729492
31/08/2026 17:00,Yom River       ,Reach1,47644   ,41.44914627075195
31/08/2026 17:00,Yom River       ,Reach1,47337   ,41.38909912109375
31/08/2026 17:00,Yom River       ,Reach1,46345   ,41.0495491027832
31/08/2026 17:00,Yom River       ,Reach1,46211   ,41.057777404785156
31/08/2026 17:00,Yom River       ,Reach1,45324   ,40.9931640625
31/08/2026 17:00,Yom River       ,Reach1,44349   ,40.92701721191406
31/08/2026 17:00,Yom River       ,Reach1,43371   ,40.81515884399414
31/08/2026 17:00,Yom River       ,Reach1,42430   ,40.65056610107422
31/08/2026 17:00,Yom River       ,Reach1,41446   ,40.47165298461914
31/08/2026 17:00,Yom River       ,Reach1,40469   ,40.352169036865234
31/08/2026 17:00,Yom River       ,Reach1,39509   ,40.19489288330078
31/08/2026 17:00,Yom River       ,Reach1,38521   ,40.047977447509766
31/08/2026 17:00,Yom River       ,Reach1,37562   ,39.89252853393555
31/08/2026 17:00,Yom River       ,Reach1,36625   ,39.73891067504883
31/08/2026 17:00,Yom River       ,Reach1,35670   ,39.56913757324219
31/08/2026 17:00,Yom River       ,Reach1,34764   ,39.453922271728516
31/08/2026 17:00,Yom River       ,Reach1,33751   ,39.41155242919922
31/08/2026 17:00,Yom River       ,Reach1,32750   ,39.2658576965332
31/08/2026 17:00,Yom River       ,Reach2,31762   ,39.2658576965332
31/08/2026 17:00,Yom River       ,Reach2,30760   ,39.12534713745117
31/08/2026 17:00,Yom River       ,Reach2,30227   ,39.09151840209961
31/08/2026 17:00,Yom River       ,Reach2,30189   ,39.09151840209961
31/08/2026 17:00,Yom River       ,Reach2,30147   ,39.08115005493164
31/08/2026 17:00,Yom River       ,Reach2,29846   ,39.05463409423828
31/08/2026 17:00,Yom River       ,Reach2,28842   ,38.945213317871094
31/08/2026 17:00,Yom River       ,Reach2,27866   ,38.89979553222656
31/08/2026 17:00,Yom River       ,Reach2,26990   ,38.74769973754883
31/08/2026 17:00,Yom River       ,Reach2,26104   ,38.618465423583984
31/08/2026 17:00,Yom River       ,Reach2,25138   ,38.5654296875
31/08/2026 17:00,Yom River       ,Reach2,24159   ,38.487403869628906
31/08/2026 17:00,Yom River       ,Reach2,23242   ,38.42400360107422
31/08/2026 17:00,Yom River       ,Reach2,22273   ,38.38986587524414
31/08/2026 17:00,Yom River       ,Reach2,21337   ,38.31122589111328
31/08/2026 17:00,Yom River       ,Reach2,20393   ,38.20759201049805
31/08/2026 17:00,Yom River       ,Reach2,20308   ,38.20241165161133
31/08/2026 17:00,Yom River       ,Reach2,19417   ,38.12712860107422
31/08/2026 17:00,Yom River       ,Reach2,18448   ,38.0317268371582
31/08/2026 17:00,Yom River       ,Reach2,17427   ,37.954612731933594
31/08/2026 17:00,Yom River       ,Reach2,16506   ,37.8832893371582
31/08/2026 17:00,Yom River       ,Reach2,15498   ,37.827816009521484
31/08/2026 17:00,Yom River       ,Reach2,14538   ,37.78483963012695
31/08/2026 17:00,Yom River       ,Reach2,13590   ,37.7257080078125
31/08/2026 17:00,Yom River       ,Reach2,12632   ,37.6845588684082
31/08/2026 17:00,Yom River       ,Reach2,11663   ,37.65956497192383
31/08/2026 17:00,Yom River       ,Reach2,10700   ,37.6159782409668
31/08/2026 17:00,Yom River       ,Reach2,9729    ,37.592506408691406
31/08/2026 17:00,Yom River       ,Reach2,8732    ,37.56142044067383
31/08/2026 17:00,Yom River       ,Reach2,7712    ,37.49802017211914
31/08/2026 17:00,Yom River       ,Reach2,7198    ,37.45321273803711
31/08/2026 17:00,Yom River       ,Reach2,6729    ,37.41999053955078
31/08/2026 17:00,Yom River       ,Reach2,5787    ,37.373661041259766
31/08/2026 17:00,Yom River       ,Reach2,4793    ,37.311180114746094
31/08/2026 17:00,Yom River       ,Reach2,3815    ,37.260887145996094
31/08/2026 17:00,Yom River       ,Reach2,2969    ,37.19535446166992
31/08/2026 17:00,Yom River       ,Reach2,2821    ,37.20267105102539
31/08/2026 17:00,Yom River       ,Reach2,2796    ,37.20267105102539
31/08/2026 17:00,Yom River       ,Reach2,2765    ,37.195960998535156
31/08/2026 17:00,Yom River       ,Reach2,2611    ,36.935054779052734
31/08/2026 17:00,Yom River       ,Reach2,1866    ,35.965789794921875
31/08/2026 17:00,Yom River       ,Reach2,1364    ,35.93592071533203
31/08/2026 17:00,Yom River       ,Reach2,889     ,35.88105773925781
31/08/2026 17:00,Yom River       ,Reach2,77      ,35.792057037353516
31/08/2026 18:00,Khlong Samrong  ,Reach1,220     ,39.26799392700195
31/08/2026 18:00,Khlong Samrong  ,Reach1,196     ,39.26403045654297
31/08/2026 18:00,Khlong Samrong  ,Reach1,187     ,39.26403045654297
31/08/2026 18:00,Khlong Samrong  ,Reach1,170     ,39.21160888671875
31/08/2026 18:00,Khlong Samrong  ,Reach1,156     ,39.18844223022461
31/08/2026 18:00,Khlong Samrong  ,Reach1,110     ,39.184478759765625
31/08/2026 18:00,Yom River       ,Reach1,95005   ,47.89413833618164
31/08/2026 18:00,Yom River       ,Reach1,94522   ,47.82281494140625
31/08/2026 18:00,Yom River       ,Reach1,94422   ,47.78593444824219
31/08/2026 18:00,Yom River       ,Reach1,94025   ,47.69205856323242
31/08/2026 18:00,Yom River       ,Reach1,93528   ,47.56007766723633
31/08/2026 18:00,Yom River       ,Reach1,93059   ,47.4850959777832
31/08/2026 18:00,Yom River       ,Reach1,92538   ,47.429927825927734
